Token ID   | Count      | Decoded Value
288        | 467        | ' d'
2061       | 462        | 'What'
817        | 460        | 'Th'
39         | 457        | 'H'
673        | 449        | ' she'
511        | 442        | ' their'
994        | 439        | ' here'
37286      | 438        | 'KING'
393        | 438        | ' or'
484        | 435        | ' they'
43         | 433        | 'L'
3666       | 428        | 'My'
438        | 417        | '--'
1842       | 415        | ' love'
788        | 411        | ' then'
514        | 405        | ' us'
910        | 401        | ' say'
1282       | 389        | ' come'
82         | 387        | 's'
880        | 384        | ' well'
7336       | 381        | 'KE'
743        | 378        | ' may'
56         | 378        | 'Y'
582        | 378        | ' man'
1722       | 377        | 'As'
530        | 374        | ' one'
5822       | 372        | ' king'
22027      | 371        | ' hath'
1309       | 368        | ' let'
760        | 367        | ' know'
787        | 362        | ' make'
547        | 348        | ' were'
281        | 344        | ' an'
306        | 344        | 'ly'
1276       | 344        | ' must'
1565       | 337        | 'AN'
621        | 337        | ' than'
612        | 329        | ' there'
550        | 329        | ' had'
750        | 328        | ' did'
49         | 327        | 'R'
815        | 326        | ' should'
2402       | 325        | ' upon'
588        | 325        | ' like'
1503       | 322        | 'AR'
2988       | 321        | ' father'
3535       | 319        | 'OL'
1639       | 312        | 'You'
301        | 304        | 'st'
83         | 302        | 't'
1544       | 301        | 'He'
1918       | 299        | ' death'
467        | 297        | ' go'
88         | 295        | 'y'
543        | 293        | ' which'
20739      | 293        | 'ICH'
266        | 290        | ' w'
9795       | 288        | 'ARD'
703        | 288        | ' how'
766        | 288        | ' see'
1797       | 288        | 'IS'
45         | 286        | 'N'
1165       | 284        | ' too'
460        | 283        | ' can'
1865       | 281        | ' yet'
395        | 281        | 'est'
3525       | 278        | 'ENT'
510        | 276        | ' up'
13828      | 272        | 'Which'
263        | 272        | 'er'
1532       | 271        | 'If'
618        | 271        | ' when'
503        | 269        | ' out'
6164       | 268        | ' mine'
2740       | 267        | ' speak'
617        | 264        | ' some'
470        | 262        | ''t'
371        | 255        | ' R'
640        | 254        | ' time'
37         | 253        | 'F'
884        | 252        | ' such'
818        | 252        | 'In'
6242       | 252        | 'AB'
5962       | 250        | 'First'
2767       | 248        | 'ET'
1268       | 244        | 'IN'
3152       | 244        | 'With'
5195       | 243        | 'Why'
2612       | 243        | ' heart'
777        | 243        | ' these'
8924       | 243        | 'UE'
1577       | 242        | ' give'
38         | 240        | 'G'
44         | 237        | 'M'
849        | 237        | 'oth'
1204       | 235        | ' life'
3398       | 233        | 'CH'
3367       | 232        | ' son'
3956       | 231        | ' brother'
8763       | 229        | 'GL'
2606       | 229        | 'OU'
5781       | 229        | 'TER'
1011       | 229        | ' take'
2949       | 229        | 'No'
5189       | 229        | 'Of'
3285       | 221        | ' hear'
952        | 221        | 'io'
2396       | 219        | 'So'
2437       | 218        | 'How'
1560       | 217        | ' tell'
280        | 217        | 'ou'
810        | 216        | ' where'
30158      | 216        | 'INC'
48         | 216        | 'Q'
3963       | 214        | ' OF'
749        | 212        | ' most'
5883       | 211        | 'UM'
881        | 210        | ' much'
272        | 209        | 'an'
50         | 209        | 'S'
892        | 208        | ' think'
925        | 207        | ' made'
1212       | 207        | 'This'
278        | 206        | 'ing'
267        | 204        | ' o'
48010      | 203        | 'tis'
1135       | 202        | 'We'
1242       | 201        | ' art'
18276      | 200        | 'RY'
1793       | 197        | ' God'
3792       | 197        | 'Is'
569        | 196        | ' V'
1239       | 193        | ' never'
323        | 192        | 'ay'
54         | 192        | 'W'
15393      | 191        | ' honour'
8496       | 190        | 'Where'
1450       | 189        | ' men'
3698       | 189        | 'EL'
2910       | 189        | ' blood'
455        | 187        | 'ost'
271        | 185        | 'is'
3844       | 184        | 'Now'
6239       | 184        | 'UL'
1110       | 182        | ' day'
2751       | 182        | 'ING'
5574       | 181        | 'Or'
11473      | 181        | 'BR'
597        | 180        | ' any'
1021       | 179        | ' hand'
3148       | 179        | ' fair'
805        | 178        | 'man'
2314       | 178        | ' cannot'
2081       | 178        | ' true'
7120       | 177        | 'Your'
39743      | 177        | 'WARD'
587        | 177        | ' been'
1438       | 176        | ' name'
1026       | 175        | 'It'
757        | 173        | ' again'
15581      | 173        | ' noble'
47731      | 173        | 'PET'
9598       | 172        | 'UC'
276        | 171        | 'ed'
16773      | 170        | 'Come'
42012      | 170        | 'Ay'
2538       | 170        | 'LE'
898        | 170        | ' own'
1760       | 169        | ' done'
47         | 169        | 'P'
49275      | 164        | 'MEN'
33676      | 163        | 'ROM'
6029       | 163        | ' sweet'
4720       | 163        | 'EO'
878        | 161        | ' before'
3843       | 160        | 'UT'
1111       | 160        | ' both'
508        | 158        | ' who'
804        | 158        | ' look'
500        | 158        | 'ine'
845        | 157        | ' very'
835        | 156        | ' way'
260        | 156        | 're'
995        | 156        | ' world'
16599      | 156        | ' queen'
440        | 155        | ' O'
3886       | 155        | 'By'
2215       | 154        | 'When'
4249       | 154        | ' nor'
1755       | 153        | ' night'
3589       | 152        | ' myself'
14887      | 150        | 'IZ'
6423       | 150        | 'Then'
869        | 150        | ' call'
4145       | 150        | ' thus'
44879      | 149        | 'COR'
12211      | 149        | 'Second'
2666       | 149        | ' leave'
1049       | 149        | ' great'
852        | 148        | ' being'
283        | 148        | 'ar'
10443      | 148        | ' Edward'
19338      | 146        | ' hast'
2951       | 146        | ' eyes'
294        | 146        | ' th'
8241       | 144        | 'Who'
584        | 144        | ' other'
4453       | 143        | ' Lord'
3252       | 143        | ' fear'
8392       | 143        | ' ED'
1468       | 142        | ' old'
866        | 141        | ' down'
28893      | 141        | 'INA'
415        | 141        | 'ant'
2802       | 140        | ' mother'
3656       | 139        | ' wife'
1497       | 138        | ' away'
5756       | 138        | 'Let'
555        | 138        | ' un'
6711       | 138        | ' III'
1182       | 138        | ' head'
1683       | 138        | ' ever'
2107       | 137        | ' live'
2636       | 137        | ' dead'
3347       | 136        | 'She'
11542      | 136        | ' grace'
3595       | 136        | ' poor'
321        | 135        | 'am'
9538       | 135        | ' heaven'
4656       | 134        | ' die'
2058       | 133        | ' comes'
2460       | 132        | ' friends'
6842       | 132        | ' bear'
867        | 132        | ' many'
41         | 131        | 'J'
1847       | 131        | 'AL'
28154      | 130        | ' YORK'
2885       | 130        | 'AD'
23304      | 129        | 'ELL'
12389      | 129        | ' crown'
1340       | 128        | 'ON'
1573       | 127        | ' word'
304        | 127        | ' e'
5848       | 127        | ' soul'
2652       | 127        | ' stay'
1108       | 126        | 'ness'
680        | 125        | 'ish'
12472      | 125        | ' pray'
35830      | 125        | 'ONT'
3750       | 124        | ' gone'
1302       | 124        | ' stand'
4957       | 124        | ' daughter'
49398      | 124        | ' Warwick'
19716      | 123        | ' prince'
347        | 123        | ' B'
2147       | 122        | ' nothing'
6653       | 122        | 'His'
6486       | 122        | ' lie'
1365       | 122        | ' better'
18310      | 121        | 'ENCE'
8805       | 121        | ' mad'
44558      | 121        | 'VOL'
2156       | 120        | ' house'
3856       | 120        | 'Be'
572        | 119        | ' off'
516        | 119        | 'ous'
5097       | 118        | 'CL'
1705       | 118        | ' news'
1199       | 118        | 'Wh'
5779       | 118        | 'Well'
883        | 117        | ' those'
2149       | 117        | 'IC'
268        | 117        | 'en'
33200      | 116        | ' lords'
1310       | 116        | ' little'
1028       | 116        | ' against'
12891      | 115        | ' hence'
4342       | 115        | 'Here'
1266       | 115        | ' best'
5247       | 115        | 'Go'
292        | 114        | 'as'
2484       | 114        | 'Sh'
259        | 114        | 'in'
776        | 113        | 'ath'
4805       | 113        | 'PR'
277        | 113        | ' f'
270        | 112        | 'it'
890        | 112        | ' long'
1517       | 112        | ' thing'
991        | 112        | ' still'
367        | 110        | ' H'
8363       | 110        | ' IV'
3673       | 110        | 'Not'
734        | 110        | ' two'
439        | 109        | 'all'
900        | 109        | ' set'
1986       | 109        | ' face'
2241       | 109        | ' himself'
717        | 108        | ' first'
275        | 108        | ' b'
12722      | 107        | ' unto'
10296      | 107        | ' gentle'
293        | 107        | 'le'
10597      | 106        | ' till'
1244       | 106        | ' might'
317        | 105        | ' A'
42         | 105        | 'K'
4361       | 105        | ' therefore'
2456       | 105        | ' words'
65         | 105        | 'b'
454        | 105        | 'our'
5446       | 105        | 'TR'
22788      | 105        | 'Sir'
17852      | 105        | ' EL'
20702      | 105        | 'ETH'
714        | 104        | ' could'
11880      | 104        | ' tongue'
308        | 104        | ' g'
4167       | 104        | ' peace'
11980      | 104        | 'Have'
2073       | 104        | ' else'
1971       | 103        | ' York'
1334       | 103        | ' rest'
12321      | 102        | 'urse'
1858       | 102        | 'There'
6071       | 101        | ' forth'
354        | 101        | 'ch'
4649       | 101        | 'uke'
43989      | 101        | ' Romeo'
1176       | 101        | ' power'
3539       | 101        | 'IA'
1363       | 100        | ' home'
4246       | 99         | 'tw'
13889      | 99         | ' VI'
67         | 99         | 'd'
16279      | 99         | 'WAR'
1867       | 99         | ' What'
996        | 99         | ' though'
11860      | 99         | 'ICK'
10846      | 99         | ' lady'
636        | 98         | ' part'
2662       | 98         | 'OM'
11262      | 98         | 'AST'
2873       | 98         | ' II'
4534       | 98         | ' earth'
661        | 97         | ' people'
5229       | 97         | ' husband'
1862       | 97         | ' young'
2911       | 96         | ' hope'
33363      | 96         | 'HAM'
1029       | 96         | ' high'
8616       | 96         | ' Henry'
1394       | 96         | ' keep'
6219       | 95         | ' Richard'
261        | 95         | 'on'
1234       | 95         | ' put'
24212      | 95         | 'ULE'
86         | 95         | 'w'
2326       | 95         | 'ilt'
22307      | 95         | ' Citizen'
4958       | 94         | ' master'
300        | 94         | ' l'
13674      | 94         | ' dear'
1752       | 94         | ' once'
1521       | 94         | ' why'
531        | 94         | ' said'
736        | 93         | ' back'
4844       | 93         | ' none'
913        | 93         | 'ful'
10248      | 93         | 'Good'
1612       | 93         | ' mean'
2390       | 92         | 'AM'
282        | 92         | 'al'
2832       | 92         | ' hands'
11486      | 91         | 'Yet'
3237       | 91         | 'All'
1137       | 91         | 'ER'
16696      | 91         | 'UCK'
1064       | 91         | ' find'
79         | 91         | 'p'
10598      | 90         | ' Rome'
2728       | 90         | ' cause'
4863       | 90         | 'From'
7597       | 90         | 'ESS'
2222       | 89         | ' bring'
790        | 89         | ' every'
8743       | 88         | 'Will'
18805      | 88         | ' MAR'
905        | 88         | ' show'
18973      | 88         | 'PER'
10953      | 88         | ' tears'
78         | 88         | 'o'
3025       | 88         | ' whose'
274        | 87         | 'es'
400        | 87         | 'th'
279        | 87         | ' p'
944        | 87         | 'self'
2788       | 87         | 'eth'
1807       | 86         | ' thought'
391        | 86         | 'ain'
2982       | 86         | ' heard'
533        | 86         | 'are'
826        | 86         | ' right'
2642       | 86         | ' wrong'
1625       | 86         | ' came'
12599      | 85         | 'ATH'
2990       | 85         | 'They'
1201       | 85         | ' since'
21991      | 85         | 'Nor'
8267       | 85         | 'ILL'
1181       | 85         | ' state'
2000       | 85         | ' mind'
1175       | 84         | ' war'
3754       | 84         | 'ius'
64         | 84         | 'a'
2601       | 83         | 'Cl'
24140      | 83         | ' sorrow'
15567      | 83         | 'ANG'
4150       | 82         | ' whom'
1526       | 82         | ' Mar'
1169       | 82         | 'the'
540        | 82         | 'able'
1545       | 81         | ' friend'
546        | 81         | ' about'
28599      | 81         | 'cius'
1295       | 81         | ' place'
8716       | 81         | ' joy'
27322      | 81         | ' pardon'
10195      | 81         | ' shame'
5122       | 81         | 'Our'
1336       | 81         | ' full'
8406       | 80         | ' bid'
12532      | 80         | 'ORD'
37706      | 80         | ' hither'
296        | 79         | 'om'
2849       | 79         | 'ION'
5211       | 79         | 'Do'
312        | 78         | 'id'
28934      | 78         | 'GRE'
7319       | 78         | ' thousand'
18522      | 78         | ' grief'
4151       | 78         | ' eye'
1581       | 78         | 'OR'
22427      | 78         | ' gentleman'
2677       | 78         | ' King'
16933      | 78         | ' cousin'
3280       | 78         | ' answer'
938        | 77         | ' last'
656        | 77         | ' into'
4261       | 77         | 'UR'
1838       | 77         | ' makes'
43210      | 77         | ' gracious'
2933       | 77         | ' boy'
7112       | 77         | 'RI'
577        | 77         | 'ose'
15100      | 77         | ' royal'
53         | 76         | 'V'
1494       | 76         | ' kill'
1037       | 76         | ' help'
1200       | 76         | ' child'
289        | 76         | ' h'
3996       | 75         | ' bed'
11083      | 75         | ' Duke'
1290       | 75         | ' far'
15946      | 75         | 'Prov'
2415       | 75         | ' woman'
1555       | 74         | 'ither'
1767       | 74         | ' body'
414        | 74         | 'ity'
4252       | 73         | ' sun'
256        | 73         | ' t'
1826       | 73         | ' meet'
1657       | 73         | ' light'
5879       | 72         | ' prove'
3387       | 72         | ' please'
387        | 72         | ' ha'
42602      | 72         | ' Clarence'
374        | 72         | ' r'
1453       | 72         | 'ee'
706        | 71         | ' after'
13482      | 71         | 'God'
886        | 71         | ' end'
9863       | 71         | 'ORT'
392        | 71         | 'and'
5600       | 70         | ' indeed'
593        | 70         | 'own'
1711       | 70         | ' hour'
322        | 70         | 'ow'
16938      | 70         | 'ENS'
48886      | 70         | ' Angelo'
779        | 69         | ' use'
446        | 69         | 'ard'
5891       | 69         | ' fellow'
1194       | 69         | ' another'
3958       | 69         | ' ban'
36         | 69         | 'E'
761        | 69         | ' need'
1745       | 68         | ' hold'
12296      | 68         | ' grave'
4032       | 68         | ',''
15807      | 68         | ' fortune'
5603       | 68         | 'TA'
25920      | 68         | ' maid'
2969       | 68         | 'AP'
336        | 68         | ' st'
468        | 68         | ' has'
9858       | 67         | 'COM'
1499       | 67         | ' country'
39371      | 67         | 'AUT'
5465       | 67         | ' hate'
44816      | 67         | 'YC'
299        | 67         | ' n'
772        | 67         | ' even'
1342       | 67         | ' less'
1312       | 67         | ' i'
458        | 67         | ' pl'
2138       | 67         | ' rather'
23792      | 67         | 'Upon'
6104       | 66         | 'Even'
9201       | 66         | 'morrow'
2577       | 66         | 'oe'
1561       | 66         | ' talk'
2501       | 66         | 'alt'
711        | 66         | ' play'
4221       | 66         | 'TH'
812        | 66         | ' years'
16868      | 66         | 'IAN'
22747      | 66         | 'Third'
474        | 66         | ' j'
2637       | 66         | '.''
285        | 66         | ' m'
4467       | 66         | ' comfort'
365        | 66         | 'ke'
691        | 66         | ' only'
5875       | 66         | ' thank'
7363       | 66         | ' lies'
8491       | 66         | 'Are'
11882      | 66         | 'erer'
5167       | 65         | 'More'
3653       | 65         | 'men'
4663       | 65         | 'IR'
7284       | 65         | ' bes'
887        | 65         | ' But'
5101       | 65         | ' arms'
69         | 65         | 'f'
22438      | 65         | 'Lord'
17353      | 65         | 'Would'
469        | 65         | 'ge'
36258      | 64         | ' shalt'
35510      | 64         | 'NOR'
359        | 64         | 'ill'
1611       | 64         | ' kind'
2640       | 64         | 'OS'
40569      | 64         | 'MAR'
3872       | 64         | ' truth'
2121       | 63         | ' fall'
649        | 63         | ' new'
4537       | 63         | 'PA'
2300       | 63         | ' matter'
4601       | 63         | ' wish'
10761      | 63         | 'GR'
1597       | 63         | ' business'
11386      | 63         | ' holy'
1576       | 63         | ' enough'
1061       | 62         | ' follow'
29296      | 62         | 'MER'
442        | 62         | ' ch'
1099       | 62         | ' law'
5417       | 62         | ' sea'
20305      | 62         | ' Murd'
26246      | 62         | ' pity'
494        | 62         | 'ie'
7062       | 61         | ' welcome'
3160       | 61         | ' lives'
16693      | 61         | ' Kate'
76         | 61         | 'm'
1115       | 61         | ' three'
3450       | 61         | ' nature'
1907       | 61         | ' fight'
28182      | 60         | 'LAND'
3830       | 60         | ' lay'
3772       | 60         | ' happy'
444        | 60         | 'ies'
11858      | 60         | ' gods'
1626       | 60         | ' within'
6613       | 60         | ' proud'
7911       | 60         | ' Come'
778        | 60         | ' pr'
18901      | 60         | ' sovereign'
2025       | 60         | 'An'
2497       | 60         | ' saw'
21192      | 59         | ' swear'
3993       | 59         | ' sleep'
1283       | 59         | ' seem'
35653      | 59         | 'Were'
1748       | 59         | ' city'
625        | 59         | ' over'
1203       | 58         | 'less'
1724       | 58         | ' means'
1944       | 58         | ' present'
11401      | 58         | 'PE'
17865      | 58         | ' oath'
14670      | 58         | 'ORK'
6621       | 58         | ' sister'
12431      | 58         | ' yours'
1956       | 58         | ' land'
273        | 58         | 'or'
8895       | 58         | 'MI'
15222      | 57         | ' bloody'
2128       | 57         | ' sound'
8223       | 57         | ' horse'
3073       | 57         | ' looks'
10426      | 57         | 'IX'
1210       | 57         | ' turn'
45472      | 57         | 'POL'
3991       | 57         | ' false'
8643       | 57         | 'ANT'
1243       | 57         | ' things'
7957       | 57         | 'bro'
981        | 57         | ' while'
567        | 56         | 'ere'
49208      | 56         | ' Serving'
3511       | 56         | ' yourself'
35731      | 56         | ' traitor'
20754      | 56         | 'INGS'
651        | 56         | ' get'
2953       | 56         | 'At'
16687      | 55         | ' villain'
4053       | 55         | 'well'
707        | 55         | 'aw'
9131       | 55         | ' LA'
1347       | 55         | 'uck'
10915      | 55         | 'Though'
2046       | 55         | ' fire'
15626      | 55         | ' foul'
1044       | 55         | 'land'
654        | 55         | 'ings'
8033       | 55         | ' breath'
364        | 55         | 'ers'
1751       | 55         | ' children'
668        | 55         | 'ark'
2695       | 54         | ' content'
497        | 54         | ' ne'
7711       | 54         | ' uncle'
4719       | 54         | ' doubt'
599        | 54         | ' sp'
378        | 54         | 'ate'
17513      | 54         | 'BY'
820        | 54         | 'day'
37769      | 54         | ' mistress'
48565      | 54         | ' majesty'
13246      | 54         | 'BER'
2219       | 54         | ' common'
3758       | 54         | ' send'
81         | 54         | 'r'
25515      | 53         | 'Say'
4492       | 53         | ' England'
1364       | 53         | ' left'
1528       | 53         | ' days'
2202       | 53         | 'On'
385        | 53         | 'us'
8429       | 53         | ' sword'
1297       | 53         | ' told'
29267      | 53         | 'IFF'
2348       | 53         | 'Al'
3613       | 53         | ' save'
15403      | 53         | ' tender'
1775       | 53         | ' seen'
368        | 53         | 'em'
1659       | 53         | 'of'
920        | 53         | ' ent'
462        | 52         | 'ome'
6532       | 52         | 'arry'
33458      | 52         | ' farewell'
2389       | 52         | 'ID'
1462       | 52         | 'to'
12322      | 52         | 'Take'
857        | 52         | ' does'
17703      | 52         | ' mercy'
451        | 51         | 'ear'
9360       | 51         | 'Her'
3537       | 51         | ' AN'
1650       | 51         | ' sit'
630        | 51         | 'reat'
1337       | 51         | ' care'
16973      | 51         | 'Was'
1504       | 51         | 'ior'
12161      | 51         | 'NE'
9245       | 51         | ' kiss'
1027       | 51         | ' ear'
4334       | 51         | ' heavy'
781        | 50         | ' fl'
23318      | 50         | 'Give'
33177      | 50         | 'CAP'
11633      | 50         | 'Did'
1669       | 50         | 'iol'
258        | 50         | 'he'
5222       | 50         | 'CE'
1978       | 50         | ' together'
3211       | 50         | ' arm'
2801       | 50         | ' ill'
10910      | 50         | 'Ah'
2184       | 50         | ' court'
8567       | 50         | 'Look'
1231       | 49         | ' without'
627        | 49         | ' qu'
7813       | 49         | ' sin'
4007       | 49         | ' purpose'
762        | 49         | ' cons'
832        | 49         | ' through'
417        | 49         | 'el'
2626       | 49         | ' lost'
1661       | 49         | ' times'
331        | 49         | ' y'
2270       | 49         | ' break'
1975       | 49         | ' believe'
57         | 48         | 'Z'
49671      | 48         | ' weep'
2739       | 48         | ' late'
10797      | 48         | ' Bol'
2479       | 48         | ' age'
603        | 48         | 'ail'
1139       | 48         | ' says'
765        | 48         | ' want'
2366       | 48         | ' foot'
496        | 48         | 'age'
1208       | 48         | ' pass'
12479      | 48         | ' marry'
3198       | 48         | 'One'
402        | 47         | ' G'
8084       | 47         | ' warrant'
4437       | 47         | ' spirit'
461        | 47         | 'ak'
19926      | 47         | 'Should'
36797      | 47         | ' haste'
38201      | 47         | ' Juliet'
4692       | 47         | ' cold'
1633       | 47         | ' air'
11368      | 47         | ' ears'
4662       | 47         | 'ours'
25383      | 47         | 'Had'
1738       | 47         | ' reason'
9192       | 47         | ' fool'
2582       | 46         | ' soon'
27029      | 46         | ' slain'
1479       | 46         | ' free'
43159      | 46         | ' Clifford'
4562       | 46         | ' faith'
23111      | 46         | 'pherd'
4881       | 46         | ' France'
5316       | 46         | ' justice'
7594       | 46         | 'Like'
2994       | 46         | ' loss'
813        | 46         | 'ily'
3892       | 46         | ' straight'
2323       | 46         | ' ground'
15849      | 46         | ' nurse'
32803      | 46         | ' fri'
8046       | 46         | ' fault'
5575       | 45         | ' Mont'
12733      | 45         | ' worthy'
4320       | 45         | ' dream'
3697       | 45         | 'FL'
669        | 45         | 'ors'
3436       | 45         | ' alone'
7039       | 45         | ' Ty'
959        | 45         | 'ier'
26830      | 45         | 'AU'
6504       | 45         | ' sight'
6283       | 45         | ' strange'
8737       | 45         | ' beauty'
2139       | 45         | ' service'
1474       | 45         | ' near'
20176      | 45         | ' CAP'
3118       | 44         | 'Un'
1048       | 44         | ' person'
1441       | 44         | ' return'
594        | 44         | 'ence'
1654       | 44         | ' sure'
1437       | 44         | 'ina'
4366       | 44         | 'Some'
3505       | 44         | ' remember'
6129       | 44         | ' fly'
15827      | 44         | ' revenge'
8169       | 44         | ' ho'
24446      | 44         | 'Tell'
2276       | 44         | ' general'
4472       | 44         | ' enemy'
298        | 44         | 'ent'
3181       | 44         | ' brought'
3492       | 44         | ' ready'
26583      | 44         | 'Therefore'
24051      | 44         | 'audio'
3423       | 43         | ' Here'
21067      | 43         | 'hee'
13679      | 43         | '!''
989        | 43         | ' report'
2064       | 43         | 'ague'
68         | 43         | 'e'
6405       | 43         | ' married'
71         | 43         | 'h'
1613       | 43         | ' past'
1014       | 43         | 'way'
1908       | 43         | ' sent'
4206       | 43         | ' knows'
2346       | 43         | ' itself'
4425       | 43         | ' lose'
315        | 43         | 'ut'
5080       | 43         | 'Tw'
5188       | 43         | 'SE'
6066       | 43         | ' thoughts'
8962       | 43         | ' Senator'
3877       | 43         | ' charge'
7077       | 43         | ' duty'
4642       | 43         | ' born'
4711       | 42         | 'These'
377        | 42         | 'ul'
3638       | 42         | ' touch'
28637      | 42         | ' deed'
3141       | 42         | ' command'
39276      | 42         | 'Against'
1317       | 42         | ' mark'
17118      | 42         | ' devil'
25690      | 42         | 'CI'
1921       | 42         | 'AS'
36440      | 42         | ' woo'
2250       | 42         | ' hours'
622        | 42         | 'ru'
921        | 42         | ' You'
316        | 42         | 'et'
6227       | 42         | ' desire'
641        | 42         | 'ens'
808        | 42         | 'row'
2769       | 42         | ' deep'
8208       | 42         | ' twenty'
6747       | 42         | 'May'
6296       | 42         | ' stands'
77         | 41         | 'n'
6413       | 41         | 'ua'
3774       | 41         | ' trust'
2433       | 41         | 'ray'
16111      | 41         | 'illo'
3770       | 41         | ' prison'
7739       | 41         | ' counsel'
1043       | 41         | ' found'
2063       | 41         | ' half'
26844      | 41         | ' fearful'
1012       | 41         | ' Cl'
348        | 41         | ' wh'
5968       | 41         | ' hell'
3913       | 41         | 'OW'
1265       | 41         | ' ask'
912        | 41         | 'ts'
583        | 41         | ' per'
313        | 40         | 'ot'
1123       | 40         | ' each'
4845       | 40         | ' marriage'
3960       | 40         | ' cry'
18454      | 40         | 'Mad'
437        | 40         | 'end'
11954      | 40         | ' hearts'
4480       | 40         | 'with'
404        | 40         | 'op'
37284      | 40         | ' bos'
33187      | 40         | 'cester'
3841       | 40         | 'ford'
3069       | 40         | 'LL'
2744       | 40         | ' Cor'
265        | 40         | 'at'
739        | 40         | ' under'
7206       | 40         | 'DE'
23700      | 40         | ' behold'
410        | 40         | ' v'
551        | 40         | ' en'
28625      | 40         | ' heir'
1087       | 40         | 'cent'
1900       | 39         | ' known'
539        | 39         | 'ake'
66         | 39         | 'c'
6386       | 39         | 'iest'
9838       | 39         | ' ye'
2973       | 39         | 'inks'
38330      | 39         | ' Hastings'
47538      | 39         | ' Buckingham'
4015       | 39         | 'unes'
10758      | 39         | ' bold'
12838      | 39         | ' tale'
3049       | 39         | ' fast'
7800       | 39         | ' yield'
11392      | 39         | 'rah'
4691       | 39         | ' serve'
5587       | 39         | ' strike'
2861       | 39         | ' worth'
1664       | 39         | ' company'
49383      | 39         | ' Glou'
495        | 39         | 'ure'
798        | 38         | 'ied'
10839      | 38         | ' voices'
670        | 38         | ' work'
5806       | 38         | ' wear'
388        | 38         | 'um'
16879      | 38         | 'HER'
390        | 38         | ' de'
731        | 38         | ' bet'
4123       | 38         | ' beg'
335        | 38         | 'ld'
1735       | 38         | ' side'
1138       | 38         | ' met'
2005       | 38         | ' cut'
638        | 38         | ' kn'
3185       | 38         | 'OP'
3478       | 38         | ' ten'
4405       | 38         | ' beat'
1525       | 38         | 'by'
6346       | 38         | 'ixt'
1223       | 38         | ' something'
6050       | 38         | ' suit'
698        | 38         | ' bl'
2214       | 38         | ' field'
629        | 38         | ' sc'
27636      | 38         | ' heavens'
14442      | 38         | ' loving'
42112      | 37         | ' Gentleman'
1057       | 37         | ' run'
28527      | 37         | ' gentlemen'
11060      | 37         | ' sake'
341        | 37         | 'ation'
5508       | 37         | ' honest'
754        | 37         | 'fore'
5775       | 37         | ' enemies'
344        | 37         | 'ce'
1466       | 37         | ' women'
966        | 37         | ' point'
38167      | 37         | ' Lancaster'
27075      | 37         | ' widow'
19093      | 37         | 'Thus'
5421       | 37         | ' bound'
689        | 37         | 'ates'
408        | 37         | 'ess'
337        | 37         | ' M'
324        | 36         | 'ad'
14802      | 36         | ' brave'
16498      | 36         | ' dare'
2984       | 36         | ' mis'
15625      | 36         | ' souls'
4202       | 36         | ' strength'
6888       | 36         | 'ca'
5176       | 36         | ' thanks'
1781       | 36         | ' course'
3670       | 36         | ' title'
544        | 36         | 'ia'
2344       | 36         | ' wind'
2406       | 36         | ' coming'
1211       | 36         | 'orn'
5380       | 36         | ' seek'
